content,username,time
大多数关于苹果的问题我都能解决，有我不懂的我去搞懂了也会为吧友们解答。,颓废了谁的清纯,2015-01-11
前排,小贴贴,2015-01-11
前排高烧,小贴贴,2015-01-11
要火？,小贴贴,2015-01-11
当然，关于一些常见的经常性会提出的问题我接下来就会慢慢总结。,颓废了谁的清纯,2015-01-11
首先，关于QQ上卖手机的，一律都是假的（欢迎打脸）。都是会让你先交订金，待你交订金之后，可能会说手机被海关扣了让你交保证金总总。反正拿到钱就拉黑你。多的就不说了。,颓废了谁的清纯,2015-01-11
这个机子求大神鉴定一下感激不尽,乖猫囝囝,2015-01-11
港版16g果5二手市场1600贵吗？买的时候要注意什么,平东c,2015-01-11
还有贴吧卖手机的买手机的都不要相信。,颓废了谁的清纯,2015-01-11
表示我是5s然后有时候手机会噗的响一声是什么情况,你的虚假丶,2015-01-11
【日版已经越狱的iphone5想升级ios8】我想问的是1.数据已经在iCloud备份了那升级后登录iCloud就可以找回是吗2.升级8后不越狱网络可以用吗求解TT谢谢了,独爱_0,2015-01-11
可以问技术贴么,那是一匹狼,2015-01-11
关于分期买手机。首先你得有信用卡，关于信用卡的申请条件请百度。中小学生就别想了。信用卡分期就是假如你要买个5288的iPhone6，那就拥有一张额度大于5288的信用卡，然后购买手机会一次性扣掉5288的额度。然后分3、6、9、12、15、18、24个月等等，用金额除以你分期的月数就是你每个月需要还的款额。关于利息，请自行百度。招工是可以无息分期的。,颓废了谁的清纯,2015-01-11
6和plus纠结买哪款。还有买完新机可以让他上色吗,斗已转0,2015-01-11
我现在是以贴吧高级会员的身份帮你顶贴，请注意你的态度,暑假干啥,2015-01-11
我去,斯坦福狗蛋,2015-01-11
能教我怎么看序列号或imei号麽，大神,花颜诱朕醉,2015-01-11
关于买手机纠结5s、6、6plus的，我不知道如何回答，我只想说自己喜欢什么就买什么，却有人说有选择困难症，那我就无能为力了。关于颜色也是如此，各有所好，我以前用的黑色4s，现在用的金色6plus，还有一个银色ipadair2，我觉得都挺好看。关于那些提问说什么颜色好看的，我想说，我说什么颜色好看你就买什么颜色？,颓废了谁的清纯,2015-01-11
联通1528用的移动4G卡我手机刚刚一直与服务然后突然来了个4G然后我吧4G关了在弄就不行了,坏pi气帅小伙,2015-01-11
外屏坏了可以换层玻璃吗？没钱去售后,China大妮_,2015-01-11
求鉴定一下,痛在理想面前,2015-01-11
二手5S没过报，32G多少钱,不会玩踏亦,2015-01-11
5s换6了，怎么把照片弄到6上,陈晨1clz,2015-01-11
现在6金色多少钱,不会玩踏亦,2015-01-11
6和iPad突然就连上了WiFi但是不能上网刷不出来页面上扣扣也显示无网络连接试过将网络恢复出厂设置还是没用求解！！！之前一直都是好好的,宁桓宇家的绵绵,2015-01-11
楼主，澳洲版的5s说一下吧，还有我之前用安卓的，苹果的手机到手后什么需要激活，越狱什么的普及普及,行动的力量just,2015-01-11
港版买ac+可以在国内买么,1617666666,2015-01-11
花9000块学习驾驶证，花20000买一辆破车，花5块钱买一瓶老白干，守在仇人门口。仇人出来的时候。踩死油门，轰然飞撞，人倒在血泊中……淡定地喝着老白干，等待警察来酒精测试。半月后，法院宣判：醉驾撞人，3年。这比故意杀人判死刑合算多了！我看以后谁他妈还敢惹我！都正儿八经的……都给我悠着点，别一天磨磨唧唧的驾照我有，破车我有，弄你只需要5块钱。就是这么任性。,当我飘过吧,2015-01-11
回答不及时的望谅解。,颓废了谁的清纯,2015-01-11
为什么不回我[LOUDLYCRYINGFACE],China大妮_,2015-01-11
