time,difficulty,peoples,detail,name
3课时							13分钟,中级,5950,"
			本课程主要为大家介绍如何使用Windows系统及Linux系统云服务器。
		",腾讯云产品 - 腾讯云云服务器
4课时							14分钟,中级,5176,"
			本课程通过产品介绍、应用场景介绍等，手把手教你快速入门。
		",腾讯云产品 - 腾讯云内容分发网络CDN
5课时							30分钟,中级,4644,"
			本课程深入浅出为你讲解COS的使用方法。
		",腾讯云产品 - 腾讯云对象存储COS
4课时							22分钟,初级,5517,"
			本课程主要为大家讲解云计算的组成，COS对象存储及CDN内容分发网络。
		",云计算基础 - 云计算的组成
5课时							19分钟,初级,5947,"
			本课程主要带大家了解什么是云以及云计算的应用场景。
		",云计算基础 - 一分钟了解云计算
3课时							16分钟,初级,6118,"
			本课主要阐述Dragonboard  410c支持的软硬件环境，外设接口，以及功能用途的同时，教大家如何去购买及使用Dragonboard  410c开发板。
		",打造你自己的Dragonboard 410c
3课时							22分钟,初级,5616,"
			本课主要教大家如何在Android应用开发中加入NDK的编程开发，旨在借此让大家学会在Java代码中嵌入C/C++的高效代码，实现java/C混合编程。
		",NDK编程开发
2课时							27分钟,初级,4337,"
			本课主要是教大家一款应用程序的开发、调试和部署。通过Android提供的蓝牙、网络通讯等模块的接口，讲解应用中对接口的调用和调试，并详细讲解应用在Studio虚拟设备上的部署和设备上的部署运行。
		",应用开发和部署实例
2课时							12分钟,初级,3105,"
			1.介绍DragonBoard 410c网络服务
2.配置Dragonboard 410c网络服务
		",简介Dragonboard 410c网络服务
2课时							17分钟,初级,8107,"
			本课将教大家如何进行Android的游戏应用开发，包括介绍所开发游戏的架构及软件的应用接口等等，目的是让大家学会在Dragonboard410c 上开发属于自己游戏应用。
		",Android应用开发
9课时							100分钟,初级,3520,"
			本课教大家如何选择适合自己的操作系统和更换Dragonboard 410c开发板上的操作系统，包括在linux、windows环境下使用SD卡和fastboot工具来烧写android和linux操作系统，熟练掌握各种系统烧录工具和方法的使用。
		",如何更换Dragonboard 410c操作系统
3课时							30分钟,初级,17460,"
			该课程详细讲解了如何1小时快速搭建一个应用号，包括搭建过程的演示与框架，搭建流程以及组件与API，手把手教你搭建你自己的第一个微信小程序
		",如何一小时快速搭建一个应用号
3课时							7分钟,初级,3522,"
			本课程主要是教大家怎么解决开发板变砖的问题，通过给讲述开发板变砖的类型，解决变砖开发板的方法，最后教大家以正确的操作方式去预防开发板变砖。
		",如何挽救变砖的开发板
6课时							26分钟,初级,3491,"
			本课程主要介绍DragonBoard 410c的开发环境，APP开发推荐使用的软件。Android Studio的介绍和安装，git、adb和fastboot工具的介绍。
		",简介DragonBoard 410c的开发环境
3课时							15分钟,初级,3920,"
			对DragonBoard 410c开发公开课整套课程中所涉及到的一些专业术语和技术概念进行介绍，并对相关技术的使用进行了补充，让大家在后续课程中更快的理解和接受相关的技术知识点。
		",专业术语/技术概念
1课时							3分钟,初级,4333,"
			对整个Dragonboard 410c开发公开课课程体系进行介绍，带大家熟悉整个课程体系中的九大课程模块内容。
		",课程介绍
4课时							9分钟,初级,4898,"
			本课程主要介绍 LeMaker Guitar 官方的 Linux 操作系统 LeMuntu 该如何使用，以及如何配置主要的接口，为后期更深入的 Linux 系统开发和学习奠定基础。
		",LeMaker Guitar 官方 LeMuntu 系统体验
6课时							190分钟,高级,9434,"
			本课程讲解使用 Axure RP8.0 原型设计工具来设计携程大型旅游网站，综合应用 Axure RP8.0 原型工具的页面区域、元件库应用、母版功能、交互设计、变量的使用等等功能，来设计携程大型旅游网站的注册、登录、页面布局设计、导航菜单母版设计、页签切换效果、海报轮播效果、跑马灯效果等等页面布局与交互设计，通过这个案例的学习，深入的应用 Axure RP8.0 原型工具，同时学会大型网站的原型设计。
		",综合案例：使用Axure RP8.0 设计携程大型旅游网站原型
3课时							8分钟,初级,3925,"
			本课程主要介绍除了使用 HDMI 接口以外的系统登陆方式，便于后期在条件受限的情况下进行Guitar 的开发和学习。
		",登录到Guitar运行的 Linux系统
4课时							12分钟,初级,3511,"
			本课程主要介绍如何安装 Linux 和 Android 操作系统到不同的存储单元中，让学员在后面的学习和开发中能够快速灵活的更新操作系统。
		",LeMaker Guitar 系统安装
3课时							12分钟,初级,3867,"
			本课程主要是让学员初步认识 LeMaker Guitar 这个开发平台的硬件组成，介绍学习 LeMaker Guitar 的时候所需要的教程等资源应该如何获取。
		",认识 LeMaker Guitar
4课时							76分钟,中级,12143,"
			本课程讲解使用 Axure RP8.0 原型设计工具来设计手机淘宝 App 的高保真原型设计，包括手机淘宝 App 底部标签导航母版设计，首页界面布局与交互设计、微淘界面布局与交互设计以及购物车界面布局与交互设计，通过这个案例的学习，掌握 Axure RP8.0 如何进行高保真原型设计。
		",综合案例：使用 Axure RP8.0 设计手机淘宝 App 高保真原型
5课时							102分钟,中级,9220,"
			本课程讲解使用 Axure RP8.0 原型设计工具来设计支付宝 App 的低保真原型设计，通过母版的方式设计支付宝 App 的底部标签导航，支付宝界面、余额宝界面的布局与交互设计，利用中继器组件设计余额宝转入界面，口碑界面的布局与交互设计；通过支付宝 App 的低保真原型设计，进一步深化 Axure RP8.0 原型设计工具的使用。
		",综合案例：使用 Axure RP8.0 设计支付宝 App 低保真原型
5课时							71分钟,初级,6202,"
			本课程讲解 Axure RP8.0 与 Axure RP7.0 的区别，通过对比  Axure RP8 和 Axure RP7.0 原型设计工具，分析软件界面、菜单栏区域、工具栏区域、站点地图区域、部件区域、部件交互区域、部件管理区域、用例编辑以及发布设置、浏览器显示等等方面区别，学会 Axure RP8.0 原型设计工具的使用。
		",Axure RP8.0 与 Axure RP7.0 的区别
2课时							36分钟,初级,2394,"
			本课程是 AWS re:Invent 2016 Recap 上海站活动，由 AWS 架构师分享了 AWS 上的人工智能和深度学习，其中包括最新的卷积神经网络模型。
		",AWS 上的人工智能和深度学习
2课时							33分钟,初级,1721,"
			本课程是 AWS re:Invent 2016 Recap 广州站活动，包括 AWS 云计算对于 AI 的影响及改变；人工智能在广告素材优化，游戏设计，线下零售，语言教学等方面的应用；案例分析和搭建架构的分享。

		",AWS 云计算对于 AI 的影响及改变
5课时							47分钟,初级,1685,"
			本课程讲解 AWS 数据库数据库服务，只需单击几下，便可在几分钟内启动它们，AWS 数据分析服务用来处理分析流程链中的每个步骤。
		",AWS 云产品—数据库与数据分析
3课时							24分钟,初级,1511,"
			本课程带领大家从对象、文件、块存储服务，以及各种云数据迁移选项中选择，从而开始设计云 IT 环境的基础。
		",AWS 云产品—存储和内容传输
3课时							16分钟,初级,1692,"
			本课程讲解如何借助 AWS 计算类云产品，将你的应用程序作为虚拟服务器、容器或代码进行部署、运行和扩展。
		",AWS 云产品—计算（云服务器）
1课时							12分钟,初级,1448,"
			本课程讲解AWS 云中网络服务 Amazon VPC, 可以让你在 AWS 云中预置一个逻辑隔离分区，让你在自己定义的虚拟网络中启动 AWS 资源。
		",AWS 云产品—网络与内容分发
3课时							24分钟,初级,1443,"
			本课程中，AWS 架构师将通过实际操作讲述如何使用 AWS 云服务计费规则进行成本估算、通过控制台查看账单。
		",AWS 云账单服务
